cluster,Planck_mass,CNN_mass,err+,err-,redshift
PSZ2G252.23-50.62.fits,14.658682770233373,14.710222,0.064995766,0.055800438,0.3582000136375427
PSZ2G252.95-41.35.fits,14.635546173531154,14.683666,0.06904125,0.05819702,0.3499999940395355
PSZ2G252.99-56.09.fits,14.466471261598391,14.353041000000001,0.08147526,0.07797527,0.07519999891519548
PSZ2G253.04+36.83.fits,14.362305442646694,14.308095999999999,0.08323860000000001,0.07943344,0.058600001037120826
PSZ2G253.13+57.49.fits,14.684602664020572,14.723112,0.06338978,0.05579567,0.2293000072240829
PSZ2G253.21+34.25.fits,14.69392854522615,14.732573,0.063186646,0.055998802,0.3061999976634979
PSZ2G253.48-33.72.fits,14.669289393343206,14.64378,0.08069420000000001,0.07231426,0.1913000047206879
PSZ2G254.08-58.45.fits,14.793961067359465,14.860163,0.06514931,0.05403614,0.4584099948406219
PSZ2G254.46-14.44.fits,14.865289405433805,14.761032,0.064266205,0.05653,0.550000011920929
PSZ2G254.51-27.32.fits,14.688809177770855,14.731375,0.06359959,0.05558586,0.274399995803833
PSZ2G254.64-45.20.fits,14.68215759962024,14.921013,0.06479645,0.054389,0.5810499787330627
PSZ2G254.66-34.45.fits,14.570765477689926,14.723276,0.06355381,0.055631638,0.2960000038146973
PSZ2G254.73-30.52.fits,14.357383893135871,14.555573999999998,0.07462978,0.08482075,0.1254000067710876
PSZ2G254.90+33.92.fits,14.50291699294343,14.615117999999999,0.08263397,0.08003807,0.1517000049352646
PSZ2G254.92+82.31.fits,14.711545503873145,14.884216,0.06504345,0.054141999999999996,0.4372661411762238
PSZ2G254.96+55.88.fits,14.365553708854149,14.382307,0.08658314,0.07769966,0.07800000160932541
PSZ2G255.07+54.84.fits,14.333763646968725,14.384069,0.08673477,0.07754803,0.08874005824327469
PSZ2G255.32-56.27.fits,14.240861733598578,14.348907,0.080563545,0.07727623,0.07180000096559525
PSZ2G255.51+49.96.fits,14.697780978421733,14.69356,0.066049576,0.05635643,0.3402973711490631
PSZ2G255.52-35.66.fits,14.32961601648663,14.291969,0.08321762,0.07784271,0.09120000153779984
PSZ2G255.60-46.18.fits,14.800999712185636,14.967545000000001,0.06462002,0.062618256,0.4235129952430725
PSZ2G255.64-25.30.fits,14.45999601948532,14.571192000000002,0.07575226,0.08369827,0.1164000034332275
PSZ2G256.24+34.83.fits,14.611889317103437,14.629295,0.082315445,0.07713508599999999,0.1527519971132278
PSZ2G256.38+44.04.fits,14.502995954666126,14.594701999999998,0.07832432,0.08273697,0.1342000067234039
PSZ2G256.53-65.70.fits,14.78404711504365,14.884188,0.06501484,0.05417061,0.2195000052452087
PSZ2G256.67+42.05.fits,14.255791341033492,14.298664000000002,0.083470345,0.0792017,0.06499999761581421
PSZ2G257.09+55.61.fits,14.836563507149053,14.753216,0.064502716,0.056293487999999996,0.3499000072479248
